A,B,C,D,Pretty Formula,sus_factor
Cr3+,C4+,Li1+,O2-,Li7Cr3(CO6)2,2262.596974009099
Cr5+,C1+,Li1+,O2-,Li7Cr3(CO6)2,2262.596974009099
Sc3+,Se4+,Li1+,O2-,Li7Sc3(SeO6)2,2263.007270843721
Lu3+,Pb4+,Li1+,O2-,Li7Lu3(PbO6)2,2265.6313247914536
Dy3+,Sn4+,Li1+,O2-,Li7Dy3(SnO6)2,2269.48136084544
Sc3+,Ge4+,Li1+,O2-,Li7Sc3(GeO6)2,2271.8188115943994
La3+,Fe4+,Li1+,O2-,Li7La3(FeO6)2,2273.4460621862127
Ho3+,Sn4+,Li1+,O2-,Li7Ho3(SnO6)2,2275.7060069114964
Sc3+,Mn4+,Li1+,O2-,Li7Sc3Mn2O12,2276.302893195643
Ce3+,Fe4+,Li1+,O2-,Li7Ce3(FeO6)2,2277.331172023218
Pr3+,Fe4+,Li1+,O2-,Li7Pr3(FeO6)2,2279.852224424035
Co3+,P4+,Li1+,O2-,Li7Co3(PO6)2,2281.017467141616
Er3+,Sn4+,Li1+,O2-,Li7Er3(SnO6)2,2281.5834177743336
Mn5+,Hg1+,Li1+,O2-,Li7Mn3(HgO6)2,2281.7316096384893
La3+,Ni4+,Li1+,O2-,Li7La3(NiO6)2,2282.175868294827
Tm3+,Sn4+,Li1+,O2-,Li7Tm3(SnO6)2,2285.759949840904
Ce3+,Ni4+,Li1+,O2-,Li7Ce3(NiO6)2,2285.9918084538053
Pr3+,Ni4+,Li1+,O2-,Li7Pr3(NiO6)2,2288.4681177044063
Nd3+,Fe4+,Li1+,O2-,Li7Nd3(FeO6)2,2290.303209265579
Na1+,Re7+,Li1+,O2-,Na3Li7(ReO6)2,2292.664567841735
La3+,S4+,Li1+,O2-,Li7La3(SO6)2,2295.470622005818
Yb3+,Sn4+,Li1+,O2-,Li7Yb3(SnO6)2,2295.8182156246426
Nd3+,Ni4+,Li1+,O2-,Li7Nd3(NiO6)2,2298.7348054098397
Ce3+,S4+,Li1+,O2-,Li7Ce3(SO6)2,2299.5002605309537
Y3+,P4+,Li1+,O2-,Li7Y3(PO6)2,2300.345356118218
Lu3+,Sn4+,Li1+,O2-,Li7Lu3(SnO6)2,2300.453743780043
Sc3+,C4+,Li1+,O2-,Li7Sc3(CO6)2,2300.4975585886355
Pr3+,S4+,Li1+,O2-,Li7Pr3(SO6)2,2302.1137624062158
Zr3+,P4+,Li1+,O2-,Li7Zr3(PO6)2,2303.96204421788
Sm3+,Fe4+,Li1+,O2-,Li7Sm3(FeO6)2,2308.8022179130435
Co3+,Cr4+,Li1+,O2-,Li7Cr2(CoO4)3,2308.888198231977
La3+,Si4+,Li1+,O2-,Li7La3(SiO6)2,2309.922092985885
Nd3+,S4+,Li1+,O2-,Li7Nd3(SO6)2,2312.936800735739
Eu3+,Fe4+,Li1+,O2-,Li7Eu3(FeO6)2,2313.51320985476
Ce3+,Si4+,Li1+,O2-,Li7Ce3(SiO6)2,2313.9232697084417
In3+,Re4+,Li1+,O2-,Li7In3(ReO6)2,2316.508534460051
In1+,Re7+,Li1+,O2-,Li7In3(ReO6)2,2316.508534460051
Pr3+,Si4+,Li1+,O2-,Li7Pr3(SiO6)2,2316.518073105516
Sm3+,Ni4+,Li1+,O2-,Li7Sm3(NiO6)2,2316.912276746482
La3+,Ti4+,Li1+,O2-,Li7La3Ti2O12,2317.379897680333
La3+,Se4+,Li1+,O2-,Li7La3(SeO6)2,2320.771652712843
Ce3+,Ti4+,Li1+,O2-,Li7Ce3Ti2O12,2321.136074267262
Eu3+,Ni4+,Li1+,O2-,Li7Eu3(NiO6)2,2321.542341630352
Y3+,Cr4+,Li1+,O2-,Li7Y3Cr2O12,2322.787049116086
Pr3+,Ti4+,Li1+,O2-,Li7Pr3Ti2O12,2323.5730615151374
Ce3+,Se4+,Li1+,O2-,Li7Ce3(SeO6)2,2324.227530439723
Ti3+,Re4+,Li1+,O2-,Li7Ti3(ReO6)2,2324.612328818544
Zr3+,Cr4+,Li1+,O2-,Li7Zr3Cr2O12,2325.905338345378
Pr3+,Se4+,Li1+,O2-,Li7Pr3(SeO6)2,2326.471039678333
Nd3+,Si4+,Li1+,O2-,Li7Nd3(SiO6)2,2327.261675765425
La3+,Ge4+,Li1+,O2-,Li7La3(GeO6)2,2327.3985046230064
Gd3+,Fe4+,Li1+,O2-,Li7Gd3(FeO6)2,2328.6488989706318
V3+,Hf4+,Li1+,O2-,Li7Hf2V3O12,2329.223972303259
Ce3+,Ge4+,Li1+,O2-,Li7Ce3(GeO6)2,2330.8787138998164
Sm3+,S4+,Li1+,O2-,Li7Sm3(SO6)2,2332.050260535403
La3+,Mn4+,Li1+,O2-,Li7La3Mn2O12,2332.800119347375
Pr3+,Ge4+,Li1+,O2-,Li7Pr3(GeO6)2,2333.137758627673
Tb3+,Fe4+,Li1+,O2-,Li7Tb3(FeO6)2,2333.325177371071
Nd3+,Ti4+,Li1+,O2-,Li7Nd3Ti2O12,2333.6721974597413
Nd3+,Se4+,Li1+,O2-,Li7Nd3(SeO6)2,2335.7797604453567
Ce3+,Mn4+,Li1+,O2-,Li7Ce3Mn2O12,2336.4147293029364
Gd3+,Ni4+,Li1+,O2-,Li7Gd3(NiO6)2,2336.4206525457007
Eu3+,S4+,Li1+,O2-,Li7Eu3(SO6)2,2336.908747783663
Pr3+,Mn4+,Li1+,O2-,Li7Pr3Mn2O12,2338.7602110269854
Tb3+,Ni4+,Li1+,O2-,Li7Tb3(NiO6)2,2341.018222801962
Ag3+,Mo4+,Li1+,O2-,Li7Ag3(MoO6)2,2341.16596416919
Nd3+,Ge4+,Li1+,O2-,Li7Nd3(GeO6)2,2342.508751068
Dy3+,Fe4+,Li1+,O2-,Li7Dy3(FeO6)2,2343.115696706407
