Pretty Formula,A,B,C,D,sus_factor
Li7Bi3(MoO6)2,Bi5+,Mo1+,Li1+,O2-,4793.909954776332
Li7Bi3(MoO6)2,Bi3+,Mo2-,Li1+,O1-,4793.909954776332
Li7Bi3(MoO6)2,Bi7+,Mo2-,Li1+,O2-,4793.909954776332
Li7Dy3(PtO6)2,Dy3+,Pt2-,Li1+,O1-,4794.85906433261
Li7Dy3(PtO6)2,Dy3+,Pt4+,Li1+,O2-,4794.85906433261
Li7Gd3(IrO6)2,Gd1+,Ir7+,Li1+,O2-,4796.690226282086
Li7Gd3(IrO6)2,Gd1+,Ir1+,Li1+,O1-,4796.690226282086
Li7Gd3(IrO6)2,Gd3+,Ir4+,Li1+,O2-,4796.690226282086
Li7Tl3(WO6)2,Tl1+,W1+,Li1+,O1-,4803.1059111451295
Li7Tl3(WO6)2,Tl1-,W4+,Li1+,O1-,4803.1059111451295
Li7Tl3(WO6)2,Tl3+,W4+,Li1+,O2-,4803.1059111451295
Li7Eu3(OsO6)2,Eu3+,Os4+,Li1+,O2-,4805.794573063959
Li7Eu3(OsO6)2,Eu3+,Os2-,Li1+,O1-,4805.794573063959
Li7Tb3(PtO6)2,Tb3+,Pt4+,Li1+,O2-,4811.270073326186
Li7Tb3(PtO6)2,Tb3+,Pt2-,Li1+,O1-,4811.270073326186
Li7Tb3(PtO6)2,Tb1+,Pt1+,Li1+,O1-,4811.270073326186
Li7Sm3(OsO6)2,Sm3+,Os2-,Li1+,O1-,4813.45069832681
Li7Sm3(OsO6)2,Sm3+,Os4+,Li1+,O2-,4813.45069832681
Li7Gd3(PtO6)2,Gd3+,Pt2-,Li1+,O1-,4819.071384995054
Li7Gd3(PtO6)2,Gd3+,Pt4+,Li1+,O2-,4819.071384995054
Li7Gd3(PtO6)2,Gd1+,Pt1+,Li1+,O1-,4819.071384995054
Li7Nb3(CoO6)2,Nb3+,Co4+,Li1+,O2-,4819.8314321339485
Li7Nb3(CoO6)2,Nb1+,Co1+,Li1+,O1-,4819.8314321339485
Li7Nb3(CoO6)2,Nb5+,Co1+,Li1+,O2-,4819.8314321339485
Li7Eu3(IrO6)2,Eu3+,Ir4+,Li1+,O2-,4821.582417265225
Li7Nb3(SO6)2,Nb1+,S1+,Li1+,O1-,4828.214781392228
Li7Nb3(SO6)2,Nb3+,S2-,Li1+,O1-,4828.214781392228
Li7Nb3(SO6)2,Nb5+,S1+,Li1+,O2-,4828.214781392228
Li7Nb3(SO6)2,Nb3+,S4+,Li1+,O2-,4828.214781392228
Li7Sm3(IrO6)2,Sm3+,Ir4+,Li1+,O2-,4829.280867522888
Li7Nd3(OsO6)2,Nd3+,Os2-,Li1+,O1-,4843.294781440051
Li7Nd3(OsO6)2,Nd3+,Os4+,Li1+,O2-,4843.294781440051
Li7Eu3(PtO6)2,Eu3+,Pt4+,Li1+,O2-,4844.158846381294
Li7Eu3(PtO6)2,Eu3+,Pt2-,Li1+,O1-,4844.158846381294
Li7Nb3(ClO6)2,Nb3+,Cl4+,Li1+,O2-,4844.332939673463
Li7Nb3(ClO6)2,Nb5+,Cl1+,Li1+,O2-,4844.332939673463
Li7Nb3(ClO6)2,Nb1+,Cl7+,Li1+,O2-,4844.332939673463
Li7Nb3(ClO6)2,Nb1+,Cl1+,Li1+,O1-,4844.332939673463
Li7Tl3V2O12,Tl1-,V4+,Li1+,O1-,4847.087475919899
Li7Tl3V2O12,Tl1+,V1+,Li1+,O1-,4847.087475919899
Li7Tl3V2O12,Tl3+,V4+,Li1+,O2-,4847.087475919899
Li7Sm3(PtO6)2,Sm3+,Pt2-,Li1+,O1-,4851.916913209293
Li7Sm3(PtO6)2,Sm3+,Pt4+,Li1+,O2-,4851.916913209293
Li7Tl3O14,Tl3+,O2-,Li1+,O1-,4856.494456258323
