Pretty Formula,A,B,C,D,sus_factor
Li7Ce2(FeO4)3,Fe3+,Ce4+,Li1+,O2-,2038.6961920938688
Li7Ce2(FeO4)3,Fe1-,Ce4+,Li1+,O1-,2038.6961920938688
Li7Pr2(FeO4)3,Fe3+,Pr4+,Li1+,O2-,2041.1317465349027
Li7Pr2(FeO4)3,Fe1-,Pr4+,Li1+,O1-,2041.1317465349027
Li7Hf3(SnO6)2,Hf3+,Sn4+,Li1+,O2-,2044.615241618448
Li7Sc3(AgO6)2,Sc1+,Ag1+,Li1+,O1-,2045.0446948544966
Li7Sc3(AgO6)2,Sc3+,Ag4+,Li1+,O2-,2045.0446948544966
Li7Sc2Zn3O12,Zn1+,Sc1+,Li1+,O1-,2045.6772532880855
Sr3Li7(SiO6)2,Sr1+,Si1+,Li1+,O1-,2045.7303540246187
K3Li7(AuO6)2,K1+,Au1+,Li1+,O1-,2046.4248179333295
Li7Co5O12,Co5+,Co1+,Li1+,O2-,2047.0221040044642
Li7Co5O12,Co1+,Co1+,Li1+,O1-,2047.0221040044642
Li7Co5O12,Co3+,Co4+,Li1+,O2-,2047.0221040044642
Li7Hf3(PbO6)2,Hf3+,Pb4+,Li1+,O2-,2048.13659509204
K2Li7(AgO4)3,Ag1+,K1+,Li1+,O1-,2048.8211201763443
Sr3Li7Al2O12,Sr1+,Al1+,Li1+,O1-,2049.872585767127
Li7Nd2(FeO4)3,Fe1-,Nd4+,Li1+,O1-,2051.268535059205
Li7Nd2(FeO4)3,Fe3+,Nd4+,Li1+,O2-,2051.268535059205
Li7V3In2O12,V1+,In1+,Li1+,O1-,2052.735754011418
Li7V3In2O12,V5+,In1+,Li1+,O2-,2052.735754011418
Li7Cr2In3O12,In3+,Cr4+,Li1+,O2-,2054.1138070261504
Li7Cr2In3O12,In1+,Cr1+,Li1+,O1-,2054.1138070261504
Li7Sc2In3O12,In1+,Sc1+,Li1+,O1-,2064.7189320839275
Li7Ag3(HgO6)2,Ag3+,Hg4+,Li1+,O2-,2068.4067487883335
Li7Ag3(HgO6)2,Ag1+,Hg1+,Li1+,O1-,2068.4067487883335
Li7Hg3(AuO6)2,Hg1+,Au1+,Li1+,O1-,2070.3043448456947
Li7Cd3(ReO6)2,Cd1+,Re1+,Li1+,O1-,2070.485593544615
Li7Cd3(ReO6)2,Cd1+,Re7+,Li1+,O2-,2070.485593544615
Sr3Li7Ca2O12,Sr1+,Ca1+,Li1+,O1-,2071.426490732113
Sr3Li7Ti2O12,Sr1+,Ti1+,Li1+,O1-,2072.5475646632076
Sr3Li7(NO6)2,Sr1+,N1+,Li1+,O1-,2074.780055892034
Li7Cr3(PbO6)2,Cr3+,Pb4+,Li1+,O2-,2078.421863942614
Li7V3(BO6)2,V1+,B1+,Li1+,O1-,2079.1672720499882
Li7V3(BO6)2,V5+,B1+,Li1+,O2-,2079.1672720499882
Sr3Li7(ClO6)2,Sr1+,Cl1+,Li1+,O1-,2080.6294744385696
Sr3Li7(ClO6)2,Sr1+,Cl7+,Li1+,O2-,2080.6294744385696
Li7Cr3(SnO6)2,Cr3+,Sn4+,Li1+,O2-,2081.2469981692084
Li7Hf3(FeO6)2,Hf3+,Fe2-,Li1+,O1-,2082.423025305388
Li7Hf3(FeO6)2,Hf3+,Fe4+,Li1+,O2-,2082.423025305388
Li7Y2(CoO4)3,Co5+,Y1+,Li1+,O2-,2082.912749776822
Li7Y2(CoO4)3,Co1+,Y1+,Li1+,O1-,2082.912749776822
Li7Hf3(CuO6)2,Hf3+,Cu4+,Li1+,O2-,2084.8573280519186
Sr3Li7(CO6)2,Sr1+,C1+,Li1+,O1-,2086.698509767164
Li7Zr2(CoO4)3,Co1+,Zr1+,Li1+,O1-,2086.909518977697
Li7Zr2(CoO4)3,Co1-,Zr4+,Li1+,O1-,2086.909518977697
Li7Zr2(CoO4)3,Co5+,Zr1+,Li1+,O2-,2086.909518977697
Li7Zr2(CoO4)3,Co3+,Zr4+,Li1+,O2-,2086.909518977697
Li7Gd2Mg3O12,Mg1+,Gd1+,Li1+,O1-,2088.3442028500876
Li7Gd2(FeO4)3,Fe5+,Gd1+,Li1+,O2-,2089.0255776659988
Li7Gd2(FeO4)3,Fe1+,Gd1+,Li1+,O1-,2089.0255776659988
Li7Hf3(SO6)2,Hf3+,S2-,Li1+,O1-,2090.5213384087547
Li7Hf3(SO6)2,Hf3+,S4+,Li1+,O2-,2090.5213384087547
Li7Hf3(NiO6)2,Hf3+,Ni4+,Li1+,O2-,2091.210501114461
SrLi5O6,Li1+,Sr1+,Li1+,O1-,2091.4999628987357
Li7Sc3(PbO6)2,Sc3+,Pb4+,Li1+,O2-,2092.665402706276
Li7Tb2(FeO4)3,Fe5+,Tb1+,Li1+,O2-,2093.6917387947497
Li7Tb2(FeO4)3,Fe3+,Tb4+,Li1+,O2-,2093.6917387947497
Li7Tb2(FeO4)3,Fe1+,Tb1+,Li1+,O1-,2093.6917387947497
Li7Tb2(FeO4)3,Fe1-,Tb4+,Li1+,O1-,2093.6917387947497
Li7Tb2Mg3O12,Mg1+,Tb1+,Li1+,O1-,2093.7132996117025
Li7Ce2O15,O1-,Ce4+,Li1+,O1-,2096.974560925441
Sr3Li7Mn2O12,Sr1+,Mn7+,Li1+,O2-,2097.4815473964
Sr3Li7Mn2O12,Sr1+,Mn1+,Li1+,O1-,2097.4815473964
Li7Y3(CoO6)2,Y1+,Co1+,Li1+,O1-,2098.276977804247
Li7Y3(CoO6)2,Y3+,Co4+,Li1+,O2-,2098.276977804247
Na3Li7Gd2O12,Na1+,Gd1+,Li1+,O1-,2098.3868696688237
Li7Sc3(SnO6)2,Sc3+,Sn4+,Li1+,O2-,2099.701055139589
Sr3Li7(SeO6)2,Sr1+,Se1+,Li1+,O1-,2099.7493346284427
Li7Pr2O15,O1-,Pr4+,Li1+,O1-,2099.758762944796
Li7Hf3(SiO6)2,Hf3+,Si4+,Li1+,O2-,2100.9506131065214
Li7Hf3(SiO6)2,Hf3+,Si2-,Li1+,O1-,2100.9506131065214
Li7Dy2(FeO4)3,Fe1-,Dy4+,Li1+,O1-,2103.505208188404
Li7Dy2(FeO4)3,Fe3+,Dy4+,Li1+,O2-,2103.505208188404
Sr3Li7(GeO6)2,Sr1+,Ge1+,Li1+,O1-,2103.6413564068803
Na3Li7Tb2O12,Na1+,Tb1+,Li1+,O1-,2103.7360984601987
Li7Zr3(CoO6)2,Zr1+,Co1+,Li1+,O1-,2103.796843751641
Li7Zr3(CoO6)2,Zr3+,Co4+,Li1+,O2-,2103.796843751641
Li7Ce2Ti3O12,Ti1-,Ce4+,Li1+,O1-,2104.9302481830573
Li7Ce2Ti3O12,Ti3+,Ce4+,Li1+,O2-,2104.9302481830573
Sr3Li7(GaO6)2,Sr1+,Ga1+,Li1+,O1-,2105.4893419640007
Li7Pr2Ti3O12,Ti3+,Pr4+,Li1+,O2-,2107.2958685493804
Li7Pr2Ti3O12,Ti1-,Pr4+,Li1+,O1-,2107.2958685493804
Sr3Li7Zn2O12,Sr1+,Zn1+,Li1+,O1-,2108.284675411166
Li7Nd2O15,O1-,Nd4+,Li1+,O1-,2111.3178479955363
Sr3Li7In2O12,Sr1+,In1+,Li1+,O1-,2111.533077479846
Li7Hf3O14,Hf3+,O2-,Li1+,O1-,2114.084722131812
Li7Ca3(AsO6)2,Ca1+,As1+,Li1+,O1-,2114.5026896723243
Li7Ti3(AsO6)2,Ti1+,As1+,Li1+,O1-,2114.5045915539376
Li7Re2(AgO4)3,Ag1+,Re1+,Li1+,O1-,2116.247945757755
Li7Re2(AgO4)3,Ag1+,Re7+,Li1+,O2-,2116.247945757755
Li7Re2(AgO4)3,Ag3+,Re4+,Li1+,O2-,2116.247945757755
Li7Hf3Ti2O12,Hf3+,Ti4+,Li1+,O2-,2116.875996089856
Li7Nd2Ti3O12,Ti1-,Nd4+,Li1+,O1-,2117.137391461542
Li7Nd2Ti3O12,Ti3+,Nd4+,Li1+,O2-,2117.137391461542
Li7Hf3(NO6)2,Hf3+,N2-,Li1+,O1-,2122.0850550056266
Li7Hf3(NO6)2,Hf3+,N4+,Li1+,O2-,2122.0850550056266
Li7Hf3(ClO6)2,Hf3+,Cl4+,Li1+,O2-,2123.6560396658247
Li7Y5O12,Y1+,Y1+,Li1+,O1-,2124.972440518776
Li7Y3Zr2O12,Y3+,Zr4+,Li1+,O2-,2128.1654599048766
Li7Y3Zr2O12,Y1+,Zr1+,Li1+,O1-,2128.1654599048766
Li7Y2Zr3O12,Zr1+,Y1+,Li1+,O1-,2129.7459264937397
Li7Hf3(CO6)2,Hf3+,C2-,Li1+,O1-,2130.1785391100193
Li7Hf3(CO6)2,Hf3+,C4+,Li1+,O2-,2130.1785391100193
Li7Zr5O12,Zr1+,Zr1+,Li1+,O1-,2132.8753072700756
Li7Zr5O12,Zr3+,Zr4+,Li1+,O2-,2132.8753072700756
Li7Hf3(SeO6)2,Hf3+,Se2-,Li1+,O1-,2133.1865334403747
Li7Hf3(SeO6)2,Hf3+,Se4+,Li1+,O2-,2133.1865334403747
Li7Hf3Mn2O12,Hf3+,Mn2-,Li1+,O1-,2133.4298763974493
Li7Hf3Mn2O12,Hf3+,Mn4+,Li1+,O2-,2133.4298763974493
Li7Hf3(GeO6)2,Hf3+,Ge4+,Li1+,O2-,2136.38568946755
Li7Hf3(GeO6)2,Hf3+,Ge2-,Li1+,O1-,2136.38568946755
Li7Ce2Mn3O12,Mn1-,Ce4+,Li1+,O1-,2137.384786939251
Li7Ce2Mn3O12,Mn3+,Ce4+,Li1+,O2-,2137.384786939251
Li7Pr2Mn3O12,Mn3+,Pr4+,Li1+,O2-,2139.602610258868
Li7Pr2Mn3O12,Mn1-,Pr4+,Li1+,O1-,2139.602610258868
Li7Ce2In3O12,In3+,Ce4+,Li1+,O2-,2146.9576169542356
Li7Pr2In3O12,In3+,Pr4+,Li1+,O2-,2148.698348997536
Li7Nd2Mn3O12,Mn3+,Nd4+,Li1+,O2-,2148.8327669621026
Li7Nd2Mn3O12,Mn1-,Nd4+,Li1+,O1-,2148.8327669621026
Li7Gd2Ti3O12,Ti1+,Gd1+,Li1+,O1-,2153.735153449186
Li7Mn3(AsO6)2,Mn5+,As1+,Li1+,O2-,2154.214780681051
Li7Mn3(AsO6)2,Mn1+,As1+,Li1+,O1-,2154.214780681051
Li7Ca3Gd2O12,Ca1+,Gd1+,Li1+,O1-,2155.0911591026274
Li3VO4,V5+,Li1+,Li1+,O2-,2155.6568438466993
Li3VO4,V1+,Li1+,Li1+,O1-,2155.6568438466993
Sr3Li7(BO6)2,Sr1+,B1+,Li1+,O1-,2155.7191934358966
Li7Nd2In3O12,In3+,Nd4+,Li1+,O2-,2155.960874523679
Li7Cr3(FeO6)2,Cr1+,Fe1+,Li1+,O1-,2156.345034147021
Li7Cr3(FeO6)2,Cr3+,Fe2-,Li1+,O1-,2156.345034147021
Li7Cr3(FeO6)2,Cr3+,Fe4+,Li1+,O2-,2156.345034147021
Li7Cr3(FeO6)2,Cr5+,Fe1+,Li1+,O2-,2156.345034147021
Li7Tb2Ti3O12,Ti1+,Tb1+,Li1+,O1-,2158.2515456927504
Li7Tb2Ti3O12,Ti1-,Tb4+,Li1+,O1-,2158.2515456927504
Li7Tb2Ti3O12,Ti3+,Tb4+,Li1+,O2-,2158.2515456927504
Li7Cr3(CuO6)2,Cr1+,Cu1+,Li1+,O1-,2158.3691978823667
Li7Cr3(CuO6)2,Cr5+,Cu1+,Li1+,O2-,2158.3691978823667
Li7Cr3(CuO6)2,Cr3+,Cu4+,Li1+,O2-,2158.3691978823667
Li7Tb2O15,O1-,Tb4+,Li1+,O1-,2159.1954173672852
Li7Ca3Tb2O12,Ca1+,Tb1+,Li1+,O1-,2159.7563597329754
Li7In3(AsO6)2,In1+,As1+,Li1+,O1-,2161.372039130358
Li7V2(CoO4)3,Co5+,V1+,Li1+,O2-,2164.2678383106836
Li7V2(CoO4)3,Co3+,V4+,Li1+,O2-,2164.2678383106836
Li7V2(CoO4)3,Co1+,V1+,Li1+,O1-,2164.2678383106836
Li7V2(CoO4)3,Co1-,V4+,Li1+,O1-,2164.2678383106836
Li7Mg2Cr3O12,Cr5+,Mg1+,Li1+,O2-,2165.243146506982
Li7Mg2Cr3O12,Cr1+,Mg1+,Li1+,O1-,2165.243146506982
Li7Be2V3O12,V1+,Be1+,Li1+,O1-,2167.4779470396843
Li7Be2V3O12,V5+,Be1+,Li1+,O2-,2167.4779470396843
Li7Dy2Ti3O12,Ti3+,Dy4+,Li1+,O2-,2167.745376073351
Li7Dy2Ti3O12,Ti1-,Dy4+,Li1+,O1-,2167.745376073351
Li7Zn3(AsO6)2,Zn1+,As1+,Li1+,O1-,2168.6966675189637
Li7La3(AgO6)2,La3+,Ag4+,Li1+,O2-,2169.3503877249213
Li7Dy2O15,O1-,Dy4+,Li1+,O1-,2170.1575023876344
Li7Cr3(NiO6)2,Cr5+,Ni1+,Li1+,O2-,2170.801426350833
Li7Cr3(NiO6)2,Cr3+,Ni4+,Li1+,O2-,2170.801426350833
Li7Cr3(NiO6)2,Cr1+,Ni1+,Li1+,O1-,2170.801426350833
Li7Ce3(AgO6)2,Ce3+,Ag4+,Li1+,O2-,2173.2056128218765
Na2Li7Cr3O12,Cr5+,Na1+,Li1+,O2-,2175.141194769908
Na2Li7Cr3O12,Cr1+,Na1+,Li1+,O1-,2175.141194769908
Li5PO6,Li1+,P1+,Li1+,O1-,2175.5066260579965
Li7Pr3(AgO6)2,Pr3+,Ag4+,Li1+,O2-,2175.709585858605
Li7Cr3(SO6)2,Cr1+,S1+,Li1+,O1-,2178.745321502303
Li7Cr3(SO6)2,Cr3+,S2-,Li1+,O1-,2178.745321502303
Li7Cr3(SO6)2,Cr5+,S1+,Li1+,O2-,2178.745321502303
Li7Cr3(SO6)2,Cr3+,S4+,Li1+,O2-,2178.745321502303
Li7La3(PbO6)2,La3+,Pb4+,Li1+,O2-,2181.4042535430817
Li7Sc3(FeO6)2,Sc1+,Fe1+,Li1+,O1-,2182.8180614683733
Li7Sc3(FeO6)2,Sc3+,Fe2-,Li1+,O1-,2182.8180614683733
Li7Sc3(FeO6)2,Sc3+,Fe4+,Li1+,O2-,2182.8180614683733
Li7Gd2Mn3O12,Mn5+,Gd1+,Li1+,O2-,2183.2066733552906
Li7Gd2Mn3O12,Mn1+,Gd1+,Li1+,O1-,2183.2066733552906
Li7Gd2In3O12,In1+,Gd1+,Li1+,O1-,2183.2640418848077
Li7Sc3(CuO6)2,Sc3+,Cu4+,Li1+,O2-,2184.11594187487
Li7Sc3(CuO6)2,Sc1+,Cu1+,Li1+,O1-,2184.11594187487
Li7Ce3(PbO6)2,Ce3+,Pb4+,Li1+,O2-,2184.506529078854
Li7Nd3(AgO6)2,Nd3+,Ag4+,Li1+,O2-,2186.1092308104157
Li7Pr3(PbO6)2,Pr3+,Pb4+,Li1+,O2-,2186.52401601462
Li7Tb2In3O12,In1+,Tb1+,Li1+,O1-,2186.666146112819
Li7Tb2In3O12,In3+,Tb4+,Li1+,O2-,2186.666146112819
Li7Tb2Mn3O12,Mn1-,Tb4+,Li1+,O1-,2187.4540597179816
Li7Tb2Mn3O12,Mn1+,Tb1+,Li1+,O1-,2187.4540597179816
Li7Tb2Mn3O12,Mn5+,Tb1+,Li1+,O2-,2187.4540597179816
Li7Tb2Mn3O12,Mn3+,Tb4+,Li1+,O2-,2187.4540597179816
Li7Gd3Cd2O12,Gd1+,Cd1+,Li1+,O1-,2192.5534369138486
Li7Gd2Zn3O12,Zn1+,Gd1+,Li1+,O1-,2193.302523017228
Li7Dy2In3O12,In3+,Dy4+,Li1+,O2-,2193.8413716061978
Li7Nd3(PbO6)2,Nd3+,Pb4+,Li1+,O2-,2194.9247673405807
Li7Mg2Sc3O12,Sc1+,Mg1+,Li1+,O1-,2196.097305060038
Li7Dy2Mn3O12,Mn3+,Dy4+,Li1+,O2-,2196.3863144619345
Li7Dy2Mn3O12,Mn1-,Dy4+,Li1+,O1-,2196.3863144619345
Li7Fe3(HgO6)2,Fe1+,Hg1+,Li1+,O1-,2197.3065933452185
Li7Fe3(HgO6)2,Fe5+,Hg1+,Li1+,O2-,2197.3065933452185
Li7Fe3(HgO6)2,Fe3+,Hg4+,Li1+,O2-,2197.3065933452185
Li7Tb2Zn3O12,Zn1+,Tb1+,Li1+,O1-,2197.3282846854368
Li7Tb3Cd2O12,Tb1+,Cd1+,Li1+,O1-,2197.3942127805276
Li7Sc3(NiO6)2,Sc3+,Ni4+,Li1+,O2-,2197.5879781233425
Li7Sc3(NiO6)2,Sc1+,Ni1+,Li1+,O1-,2197.5879781233425
Sr2Li7(CoO4)3,Co5+,Sr1+,Li1+,O2-,2198.9504772949676
Sr2Li7(CoO4)3,Co1+,Sr1+,Li1+,O1-,2198.9504772949676
Li7Cr3(SiO6)2,Cr1+,Si1+,Li1+,O1-,2199.467264921452
Li7Cr3(SiO6)2,Cr3+,Si2-,Li1+,O1-,2199.467264921452
Li7Cr3(SiO6)2,Cr3+,Si4+,Li1+,O2-,2199.467264921452
Li7Cr3(SiO6)2,Cr5+,Si1+,Li1+,O2-,2199.467264921452
Li7Y3V2O12,Y1+,V1+,Li1+,O1-,2199.561476334554
Li7Y3V2O12,Y3+,V4+,Li1+,O2-,2199.561476334554
Li7Hf2(CoO4)3,Co1-,Hf4+,Li1+,O1-,2202.554411476526
Li7Hf2(CoO4)3,Co3+,Hf4+,Li1+,O2-,2202.554411476526
Li7La3(SnO6)2,La3+,Sn4+,Li1+,O2-,2203.7766265573755
Li7Zr3V2O12,Zr1+,V1+,Li1+,O1-,2204.081314673347
Li7Zr3V2O12,Zr3+,V4+,Li1+,O2-,2204.081314673347
Li7Sm3(AgO6)2,Sm3+,Ag4+,Li1+,O2-,2204.594597156127
Li7Al2Cr3O12,Cr1+,Al1+,Li1+,O1-,2205.3455065528815
Li7Al2Cr3O12,Cr5+,Al1+,Li1+,O2-,2205.3455065528815
Na2Li7Sc3O12,Sc1+,Na1+,Li1+,O1-,2206.6839968716795
Li7Ce3(SnO6)2,Ce3+,Sn4+,Li1+,O2-,2207.3996285180424
Li7Sc3(SO6)2,Sc3+,S2-,Li1+,O1-,2209.158868391309
Li7Sc3(SO6)2,Sc3+,S4+,Li1+,O2-,2209.158868391309
Li7Sc3(SO6)2,Sc1+,S1+,Li1+,O1-,2209.158868391309
Li7Eu3(AgO6)2,Eu3+,Ag4+,Li1+,O2-,2209.317960526994
Li7Pr3(SnO6)2,Pr3+,Sn4+,Li1+,O2-,2209.7531621134253
Li7Sm3(PbO6)2,Sm3+,Pb4+,Li1+,O2-,2209.94362149316
Li7Mg3(HgO6)2,Mg1+,Hg1+,Li1+,O1-,2211.043820210255
Li7Eu3(PbO6)2,Eu3+,Pb4+,Li1+,O2-,2213.7991080518923
SrLi3O4,Sr1+,Li1+,Li1+,O1-,2217.084607685197
Li7Nd3(SnO6)2,Nd3+,Sn4+,Li1+,O2-,2219.5312793378644
Li7Ti2Cr3O12,Cr5+,Ti1+,Li1+,O2-,2219.7513071750045
Li7Ti2Cr3O12,Cr3+,Ti4+,Li1+,O2-,2219.7513071750045
Li7Ti2Cr3O12,Cr1-,Ti4+,Li1+,O1-,2219.7513071750045
Li7Ti2Cr3O12,Cr1+,Ti1+,Li1+,O1-,2219.7513071750045
Na3Li7(HgO6)2,Na1+,Hg1+,Li1+,O1-,2220.542871413235
Li7Ca2Cr3O12,Cr1+,Ca1+,Li1+,O1-,2223.1891150457886
Li7Ca2Cr3O12,Cr5+,Ca1+,Li1+,O2-,2223.1891150457886
Li7Y3Hf2O12,Y3+,Hf4+,Li1+,O2-,2223.447635183312
Li7Gd3(AgO6)2,Gd1+,Ag1+,Li1+,O1-,2224.537172025013
Li7Gd3(AgO6)2,Gd3+,Ag4+,Li1+,O2-,2224.537172025013
Li7V3(CoO6)2,V3+,Co4+,Li1+,O2-,2225.63971543137
Li7V3(CoO6)2,V5+,Co1+,Li1+,O2-,2225.63971543137
Li7V3(CoO6)2,V1+,Co1+,Li1+,O1-,2225.63971543137
Sr2Li7Y3O12,Y1+,Sr1+,Li1+,O1-,2225.8817484493707
Sr3Li7Be2O12,Sr1+,Be1+,Li1+,O1-,2225.9233445617942
Li7Gd3(PbO6)2,Gd3+,Pb4+,Li1+,O2-,2226.2718177863053
Li7Hf2Zr3O12,Zr3+,Hf4+,Li1+,O2-,2226.4533962144174
Li5CrO6,Li1+,Cr1+,Li1+,O1-,2227.4153176699187
Li7Tb3(AgO6)2,Tb3+,Ag4+,Li1+,O2-,2229.2528043181155
Li7Tb3(AgO6)2,Tb1+,Ag1+,Li1+,O1-,2229.2528043181155
Sr2Li7Zr3O12,Zr1+,Sr1+,Li1+,O1-,2229.655233028152
Li7Cr3O14,Cr3+,O2-,Li1+,O1-,2229.7877647573805
Li7Tb3(PbO6)2,Tb3+,Pb4+,Li1+,O2-,2230.151984635202
Li7Sc3(SiO6)2,Sc3+,Si4+,Li1+,O2-,2231.4556296071582
Li7Sc3(SiO6)2,Sc3+,Si2-,Li1+,O1-,2231.4556296071582
Li7Sc3(SiO6)2,Sc1+,Si1+,Li1+,O1-,2231.4556296071582
Li7Cr3In2O12,Cr5+,In1+,Li1+,O2-,2233.9135594928234
Li7Cr3In2O12,Cr1+,In1+,Li1+,O1-,2233.9135594928234
Li7Cr3(SeO6)2,Cr1+,Se1+,Li1+,O1-,2235.686987691891
Li7Cr3(SeO6)2,Cr3+,Se2-,Li1+,O1-,2235.686987691891
Li7Cr3(SeO6)2,Cr3+,Se4+,Li1+,O2-,2235.686987691891
Li7Cr3(SeO6)2,Cr5+,Se1+,Li1+,O2-,2235.686987691891
Li7Sm3(SnO6)2,Sm3+,Sn4+,Li1+,O2-,2236.924965971707
Li7Cr3(ClO6)2,Cr3+,Cl4+,Li1+,O2-,2237.498997270651
Li7Cr3(ClO6)2,Cr5+,Cl1+,Li1+,O2-,2237.498997270651
Li7Cr3(ClO6)2,Cr1+,Cl1+,Li1+,O1-,2237.498997270651
Li7Cr3(ClO6)2,Cr1+,Cl7+,Li1+,O2-,2237.498997270651
Li7Sc3Al2O12,Sc1+,Al1+,Li1+,O1-,2237.787468826353
Li7Dy3(PbO6)2,Dy3+,Pb4+,Li1+,O2-,2238.3168612696695
Li7Dy3(AgO6)2,Dy3+,Ag4+,Li1+,O2-,2239.1465202652807
Li7Eu3(SnO6)2,Eu3+,Sn4+,Li1+,O2-,2241.372073295857
Li7Cr3(GeO6)2,Cr5+,Ge1+,Li1+,O2-,2243.5177497162026
Li7Cr3(GeO6)2,Cr3+,Ge2-,Li1+,O1-,2243.5177497162026
Li7Cr3(GeO6)2,Cr1+,Ge1+,Li1+,O1-,2243.5177497162026
Li7Cr3(GeO6)2,Cr3+,Ge4+,Li1+,O2-,2243.5177497162026
Li7Ho3(PbO6)2,Ho3+,Pb4+,Li1+,O2-,2243.780991612624
Li7Y2V3O12,V1+,Y1+,Li1+,O1-,2244.2920366376293
Li7Y2V3O12,V5+,Y1+,Li1+,O2-,2244.2920366376293
Li7Ho3(AgO6)2,Ho3+,Ag4+,Li1+,O2-,2245.7456171395024
Li7Mn2Cr3O12,Cr1-,Mn4+,Li1+,O1-,2245.8363911727374
Li7Mn2Cr3O12,Cr5+,Mn1+,Li1+,O2-,2245.8363911727374
Li7Mn2Cr3O12,Cr3+,Mn4+,Li1+,O2-,2245.8363911727374
Li7Mn2Cr3O12,Cr1+,Mn7+,Li1+,O2-,2245.8363911727374
Li7Mn2Cr3O12,Cr1+,Mn1+,Li1+,O1-,2245.8363911727374
Li7Cr3(NO6)2,Cr5+,N1+,Li1+,O2-,2246.0246854844127
Li7Cr3(NO6)2,Cr3+,N4+,Li1+,O2-,2246.0246854844127
Li7Cr3(NO6)2,Cr1+,N1+,Li1+,O1-,2246.0246854844127
Li7Cr3(NO6)2,Cr3+,N2-,Li1+,O1-,2246.0246854844127
Li7Zr2V3O12,V1+,Zr1+,Li1+,O1-,2247.155911333514
Li7Zr2V3O12,V5+,Zr1+,Li1+,O2-,2247.155911333514
Li7Zr2V3O12,V1-,Zr4+,Li1+,O1-,2247.155911333514
Li7Zr2V3O12,V3+,Zr4+,Li1+,O2-,2247.155911333514
Li7Cr3(GaO6)2,Cr1+,Ga1+,Li1+,O1-,2247.2566113466046
Li7Cr3(GaO6)2,Cr5+,Ga1+,Li1+,O2-,2247.2566113466046
Li7Er3(PbO6)2,Er3+,Pb4+,Li1+,O2-,2248.9519836840377
Li7Hf3(CoO6)2,Hf3+,Co4+,Li1+,O2-,2249.1180666500736
Li7Sc3Ti2O12,Sc3+,Ti4+,Li1+,O2-,2249.9629781757835
Li7Sc3Ti2O12,Sc1+,Ti1+,Li1+,O1-,2249.9629781757835
Li7Er3(AgO6)2,Er3+,Ag4+,Li1+,O2-,2251.974505194275
Li7Tm3(PbO6)2,Tm3+,Pb4+,Li1+,O2-,2252.633441013564
Li7Zn2Cr3O12,Cr1+,Zn1+,Li1+,O1-,2252.937705411652
Li7Zn2Cr3O12,Cr5+,Zn1+,Li1+,O2-,2252.937705411652
Li7Ca2Sc3O12,Sc1+,Ca1+,Li1+,O1-,2254.5931513578066
Li5ScO6,Li1+,Sc1+,Li1+,O1-,2254.735652564238
Li7Gd3(SnO6)2,Gd3+,Sn4+,Li1+,O2-,2255.708608730426
Li7Tm3(AgO6)2,Tm3+,Ag4+,Li1+,O2-,2256.3995690957468
K2Li7(FeO4)3,Fe1+,K1+,Li1+,O1-,2257.0441902040543
K2Li7(FeO4)3,Fe5+,K1+,Li1+,O2-,2257.0441902040543
Li7Sc3In2O12,Sc1+,In1+,Li1+,O1-,2257.9338731173143
Li7Ti3(HgO6)2,Ti1+,Hg1+,Li1+,O1-,2258.174077443132
Li7Ti3(HgO6)2,Ti3+,Hg4+,Li1+,O2-,2258.174077443132
Li7Fe3(ReO6)2,Fe1+,Re7+,Li1+,O2-,2259.4643528848646
Li7Fe3(ReO6)2,Fe3+,Re4+,Li1+,O2-,2259.4643528848646
Li7Fe3(ReO6)2,Fe5+,Re1+,Li1+,O2-,2259.4643528848646
Li7Fe3(ReO6)2,Fe1+,Re1+,Li1+,O1-,2259.4643528848646
Li7Tb3(SnO6)2,Tb3+,Sn4+,Li1+,O2-,2260.153055819332
Li7Hf3Zr2O12,Hf3+,Zr4+,Li1+,O2-,2260.4627783183228
Li7Yb3(PbO6)2,Yb3+,Pb4+,Li1+,O2-,2261.5230834721206
Li7Ca3(HgO6)2,Ca1+,Hg1+,Li1+,O1-,2262.5785144183587
Li7Cr3(CO6)2,Cr1+,C1+,Li1+,O1-,2262.596974009099
Li7Cr3(CO6)2,Cr3+,C4+,Li1+,O2-,2262.596974009099
Li7Cr3(CO6)2,Cr5+,C1+,Li1+,O2-,2262.596974009099
Li7Cr3(CO6)2,Cr3+,C2-,Li1+,O1-,2262.596974009099
Li7Sc3(SeO6)2,Sc1+,Se1+,Li1+,O1-,2263.0072708437206
Li7Sc3(SeO6)2,Sc3+,Se4+,Li1+,O2-,2263.0072708437206
Li7Sc3(SeO6)2,Sc3+,Se2-,Li1+,O1-,2263.0072708437206
Li7In3(HgO6)2,In1+,Hg1+,Li1+,O1-,2263.8375167737463
Li7In3(HgO6)2,In3+,Hg4+,Li1+,O2-,2263.8375167737463
Sr3Li7(CoO6)2,Sr1+,Co1+,Li1+,O1-,2264.392461629909
Li7Sc3O14,Sc3+,O2-,Li1+,O1-,2265.2455807088177
Li7Lu3(PbO6)2,Lu3+,Pb4+,Li1+,O2-,2265.6313247914536
Li7Yb3(AgO6)2,Yb3+,Ag4+,Li1+,O2-,2267.0521762468934
Li7Dy3(SnO6)2,Dy3+,Sn4+,Li1+,O2-,2269.48136084544
